Name	YT Scope Project	
File	C:\Users\34468\Documents\GitHub\Selettori_Colori\Scope\Scope Project.csv	
Starttime of export	133286225188940000	lunedì 15 maggio 2023	13:08:38.894
Endtime of export	133286226059540000	lunedì 15 maggio 2023	13:10:05.954


Name	bMotorImpulse	Name	nColorSensor
SymbolComment	I1  (NC)	SymbolComment	I4
Data-Type	BIT	Data-Type	REAL32
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	1	VariableSize	4
SymbolBased	True	SymbolBased	True
IndexGroup	61472	IndexGroup	16448
IndexOffset	450456	IndexOffset	385012
SymbolName	MAIN.stRawIn.bMotorImpulse	SymbolName	MAIN.stIn.nColorSensor
NetID	5.85.197.242.1.1	NetID	5.85.197.242.1.1
Port	852	Port	852
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

0	1	0	7,5991087
10	1	10	7,59849834
20	1	20	7,59727764
30	1	30	7,59666729
40	1	40	7,59666729
50	0	50	7,59666729
60	0	60	7,596362
70	0	70	7,596057
80	0	80	7,59514141
90	0	90	7,59514141
100	0	100	7,596362
110	0	110	7,59697247
120	0	120	7,59697247
130	0	130	7,598193
140	0	140	7,599719
150	0	150	7,60063457
160	1	160	7,59849834
170	1	170	7,598193
180	1	180	7,599414
190	1	190	7,599719
200	1	200	7,60063457
210	1	210	7,599719
220	1	220	7,599414
230	1	230	7,599414
240	0	240	7,59849834
250	0	250	7,59880352
260	0	260	7,599414
270	0	270	7,600024
280	0	280	7,60063457
290	0	290	7,600024
300	0	300	7,599414
310	0	310	7,599719
320	0	320	7,60093975
330	0	330	7,600024
340	0	340	7,600024
350	0	350	7,60063457
360	1	360	7,59849834
370	1	370	7,597583
380	1	380	7,59849834
390	1	390	7,59727764
400	1	400	7,59666729
410	1	410	7,597583
420	1	420	7,5991087
430	0	430	7,599414
440	0	440	7,5991087
450	0	450	7,599414
460	0	460	7,60063457
470	0	470	7,60093975
480	0	480	7,60155
490	0	490	7,60155
500	0	500	7,60185528
510	0	510	7,60185528
520	0	520	7,60185528
530	0	530	7,60216045
540	0	540	7,60216045
550	0	550	7,60155
560	1	560	7,599414
570	1	570	7,600024
580	1	580	7,60246563
590	1	590	7,603381
600	1	600	7,60368633
610	1	610	7,60399151
620	1	620	7,60399151
630	1	630	7,60429668
640	1	640	7,60368633
650	0	650	7,604907
660	0	660	7,60582256
670	0	670	7,60368633
680	0	680	7,60399151
690	0	690	7,60399151
700	0	700	7,603381
710	0	710	7,603076
720	0	720	7,60093975
730	0	730	7,600024
740	0	740	7,60155
750	0	750	7,60216045
760	0	760	7,60216045
770	0	770	7,60216045
780	1	780	7,601245
790	1	790	7,601245
800	1	800	7,601245
810	1	810	7,601245
820	1	820	7,601245
830	1	830	7,60093975
840	1	840	7,600024
850	1	850	7,599719
860	0	860	7,599414
870	0	870	7,5991087
